"price","lotsize","bedrooms","bathrooms","stories","driveway","recreation","fullbase","aircon","garage"
"42000","5850","3","1","2","yes","no","yes","no","1"
"38500","4000","2","1","1","yes","no","no","no","0"
"49500","3060","3","1","1","yes","no","no","no","0"
"60500","6650","3","1","2","yes","yes","no","no","0"
"61000","6360","2","1","1","yes","no","no","no","0"
"66000","4160","3","1","1","yes","yes","yes","yes","0"
"66000","3880","3","2","2","yes","no","yes","no","2"
"69000","4160","3","1","3","yes","no","no","no","0"
"83800","4800","3","1","1","yes","yes","yes","no","0"
"88500","5500","3","2","4","yes","yes","no","yes","1"
"90000","7200","3","2","1","yes","no","yes","yes","3"
"30500","3000","2","1","1","no","no","no","no","0"
"27000","1700","3","1","2","yes","no","no","no","0"
"36000","2880","3","1","1","no","no","no","no","0"
"37000","3600","2","1","1","yes","no","no","no","0"
"37900","3185","2","1","1","yes","no","no","yes","0"
"40500","3300","3","1","2","no","no","no","no","1"
"40750","5200","4","1","3","yes","no","no","no","0"
"45000","3450","1","1","1","yes","no","no","no","0"
"45000","3986","2","2","1","no","yes","yes","no","1"
"48500","4785","3","1","2","yes","yes","yes","yes","1"
"65900","4510","4","2","2","yes","no","yes","no","0"
"37900","4000","3","1","2","yes","no","no","yes","0"
"38000","3934","2","1","1","yes","no","no","no","0"
"42000","4960","2","1","1","yes","no","no","no","0"
"42300","3000","2","1","2","yes","no","no","no","0"
"43500","3800","2","1","1","yes","no","no","no","0"
"44000","4960","2","1","1","yes","no","yes","yes","0"
"44500","3000","3","1","1","no","no","no","yes","0"
"44900","4500","3","1","2","yes","no","no","yes","0"
"45000","3500","2","1","1","no","no","yes","no","0"
"48000","3500","4","1","2","yes","no","no","yes","2"
"49000","4000","2","1","1","yes","no","no","no","0"
"51500","4500","2","1","1","yes","no","no","no","0"
"61000","6360","2","1","2","yes","no","no","no","0"
"61000","4500","2","1","1","yes","no","no","yes","2"
"61700","4032","2","1","1","yes","no","yes","no","0"
"67000","5170","3","1","4","yes","no","no","yes","0"
"82000","5400","4","2","2","yes","no","no","yes","2"
"54500","3150","2","2","1","no","no","yes","no","0"
"66500","3745","3","1","2","yes","no","yes","no","0"
"70000","4520","3","1","2","yes","no","yes","yes","0"
"82000","4640","4","1","2","yes","no","no","no","1"
"92000","8580","5","3","2","yes","no","no","no","2"
"38000","2000","2","1","2","yes","no","no","no","0"
"44000","2160","3","1","2","no","no","yes","no","0"
"41000","3040","2","1","1","no","no","no","no","0"
"43000","3090","3","1","2","no","no","no","no","0"
"48000","4960","4","1","3","no","no","no","no","0"
"54800","3350","3","1","2","yes","no","no","no","0"
"55000","5300","5","2","2","yes","no","no","no","0"
"57000","4100","4","1","1","no","no","yes","no","0"
"68000","9166","2","1","1","yes","no","yes","yes","2"
"95000","4040","3","1","2","yes","no","yes","no","1"
"38000","3630","3","3","2","no","yes","no","no","0"
"25000","3620","2","1","1","yes","no","no","no","0"
"25245","2400","3","1","1","no","no","no","no","0"
"56000","7260","3","2","1","yes","yes","yes","no","3"
"35500","4400","3","1","2","yes","no","no","no","0"
"30000","2400","3","1","2","yes","no","no","no","0"
"48000","4120","2","1","2","yes","no","no","no","0"
"48000","4750","2","1","1","yes","no","no","no","0"
"52000","4280","2","1","1","yes","no","no","yes","2"
"54000","4820","3","1","2","yes","no","no","no","0"
"56000","5500","4","1","2","yes","yes","yes","no","0"
"60000","5500","3","1","2","yes","no","no","yes","0"
"60000","5040","3","1","2","yes","no","yes","yes","0"
"67000","6000","2","1","1","yes","no","yes","yes","1"
"47000","2500","2","1","1","no","no","no","yes","0"
"70000","4095","3","1","2","no","yes","yes","yes","0"
"45000","4095","2","1","1","yes","no","no","no","2"
"51000","3150","3","1","2","yes","no","yes","no","0"
"32500","1836","2","1","1","no","no","yes","no","0"
"34000","2475","3","1","2","yes","no","no","no","0"
"35000","3210","3","1","2","yes","no","yes","no","0"
"36000","3180","3","1","1","no","no","no","no","0"
"45000","1650","3","1","2","no","no","yes","no","0"
"47000","3180","4","1","2","yes","no","yes","yes","0"
"55000","3180","2","2","1","yes","no","yes","no","2"
"63900","6360","2","1","1","yes","no","yes","yes","1"
"50000","4240","3","1","2","yes","no","no","yes","0"
"35000","3240","2","1","1","no","yes","no","no","1"
"50000","3650","3","1","2","yes","no","no","no","0"
"43000","3240","3","1","2","yes","no","no","no","2"
"55500","3780","2","1","2","yes","yes","yes","no","0"
"57000","6480","3","1","2","no","no","no","yes","1"
"60000","5850","2","1","1","yes","yes","yes","no","2"
"78000","3150","3","2","1","yes","yes","yes","yes","0"
"35000","3000","2","1","1","yes","no","no","no","1"
"44000","3090","2","1","1","yes","yes","yes","no","0"
"47000","6060","3","1","1","yes","yes","yes","no","0"
"58000","5900","4","2","2","no","no","yes","no","1"
"163000","7420","4","1","2","yes","yes","yes","yes","2"
"128000","8500","3","2","4","yes","no","no","yes","2"
"123500","8050","3","1","1","yes","yes","yes","yes","1"
"39000","6800","2","1","1","yes","no","no","no","0"
"53900","8250","3","1","1","yes","no","no","no","2"
"59900","8250","3","1","1","yes","no","yes","no","3"
"35000","3500","2","1","1","yes","yes","no","no","0"
"43000","2835","2","1","1","yes","no","no","no","0"
